qid,qname,question,force_resp,type,selector
QID307,OfficeStackSync,"Which <b>communication tools</b> did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply",FALSE,Matrix,Likert
QID327,AISearchDev,"Which <b>AI-powered search and developer tools</b> did you use regularly over the past year, and which do you want to work with over the next year? Select all that apply.",FALSE,Matrix,Likert
QID266,NEWSOSites,Which of the following Stack Overflow sites have you visited? Select all that apply. *,TRUE,MC,MAVR
QID100,SOVisitFreq,How frequently would you say you visit Stack Overflow?,FALSE,MC,SAVR
QID101,SOAccount,Do you have a Stack Overflow account?,FALSE,MC,SAVR
QID102,SOPartFreq,"How frequently would you say you participate in Q&amp;A on Stack Overflow? By participate we mean ask, answer, vote for, or comment on questions.",FALSE,MC,SAVR
QID334,SOHow,How do you use Stack Overflow?  Select all that apply.,FALSE,MC,MAVR
QID106,SOComm,Do you consider yourself a member of the Stack Overflow community?,FALSE,MC,SAVR
QID314,AISelect,Do you currently use AI tools in your development process? *,TRUE,MC,SAVR
QID315,AISent,How favorable is your stance on using AI tools as part of your development workflow?,FALSE,MC,SAVR
QID324,AIBen,"For the AI tools you use as part of your development workflow, what are the MOST important benefits you are hoping to achieve? Please check all that apply.",FALSE,MC,MAVR
QID316,AIAcc,How much do you trust the accuracy of the output from AI tools as part of your development workflow?,FALSE,MC,SAVR
QID343,AIComplex,How well do the AI tools you use in your development workflow handle complex tasks?,FALSE,MC,SAVR
QID319,AITool,Which parts of your development workflow are you currently using AI tools for and which are you interested in using AI tools for over the next year?  Please select all that apply.,FALSE,Matrix,Likert
QID320,AINext,"Thinking about how your job and process changes over time, how integrated in your workflow do you anticipate AI tools you are currently using will be 1 year from now?",FALSE,Matrix,Likert
QID338,AIThreat,Do you believe AI is a threat to your current job?,FALSE,MC,SAVR
QID339,AIEthics,Which AI ethical responsibilities are most important to you?  Select all that apply.,FALSE,MC,MAVR
QID346,AIChallenges,What are the challenges to your company/whole team using AI code assistants or GenAI tools? Select all that apply.,FALSE,MC,MAVR
QID299,TBranch,"<span style=""font-size:16px;"">Would you like to participate in the Professional Developer Series? *</span>",TRUE,MC,SAVR
QID287,ICorPM,Are you an individual contributor or people manager?,FALSE,MC,SAVR
QID288,WorkExp,How many years of working experience do you have?,FALSE,Slider,HSLIDER
QID289,Knowledge,Please rate your level of agreement with the following statement:,FALSE,Matrix,Likert
QID290,Frequency,How frequently do you experience each of the following?,FALSE,Matrix,Likert
QID291,TimeSearching,"On an average day, how much time do you typically spend searching for answers or solutions to problems you encounter at work? (This includes time spent searching on your own, asking a colleague, and waiting for a response).",FALSE,MC,SAVR
QID292,TimeAnswering,"On an average day, how much time do you typically spend answering questions you get asked at work?",FALSE,MC,SAVR
QID342,Frustration,Which of these company challenges causes you the most frustration? Select all that apply.,FALSE,MC,MAVR
QID304,ProfessionalTech,My company has:,FALSE,MC,MAVR
QID332,ProfessionalCloud,"At my company, our applications, databases and services are hosted:",FALSE,MC,SAVR
QID333,ProfessionalQuestion,"When you have a technical question at work, where do you first go to get an answer?",FALSE,MC,SAVR
QID326,Industry,What industry is the company you work for in?,FALSE,MC,SAVR
QID336,JobSat,How satisfied are you in your current professional developer role?,FALSE,MC,NPS
QID337,JobSatPoints,Assign points to the following attributes of your job according to those that contribute the most to your satisfaction out of 100 total points:,FALSE,CS,VRTL
QID286,SOTeamsUsage,Does your team use Stack Overflow for Teams?,FALSE,MC,SAVR
QID132,SurveyLength,How do you feel about the length of the survey this year?,FALSE,MC,MAVR
QID133,SurveyEase,How easy or difficult was this survey to complete?,FALSE,MC,MAVR
QID289,Knowledge_1,I have interactions with people outside of my immediate team.,NA,MC,MAVR
QID289,Knowledge_2,"Knowledge silos prevent me from getting ideas across the organization (i.e., one individual or team has information that isn't shared with others)",NA,MC,MAVR
QID289,Knowledge_3,I can find up-to-date information within my organization to help me do my job.,NA,MC,MAVR
QID289,Knowledge_4,I am able to quickly find answers to my questions with existing tools and resources.,NA,MC,MAVR
QID289,Knowledge_5,I know which system or resource to use to find information and answers to questions I have.,NA,MC,MAVR
QID289,Knowledge_6,I often find myself answering questions that I’ve already answered before.,NA,MC,MAVR
QID289,Knowledge_7,Waiting on answers to questions often causes interruptions and disrupts my workflow.,NA,MC,MAVR
QID289,Knowledge_8,I feel like I have the tools and/or resources to quickly understand and work on any area of my company's code/system/platform.,NA,MC,MAVR
QID289,Knowledge_9,I have asked my employer to reimburse me for tools or a product that helps me do my job better or faster,NA,MC,MAVR
QID290,Frequency_1,Needing help from people outside of your immediate team?,NA,MC,MAVR
QID290,Frequency_2,Interacting with people outside of your immediate team?,NA,MC,MAVR
QID290,Frequency_3,Encountering knowledge silos (where one individual or team has information that's not shared or distributed with other individuals or teams) at work?,NA,MC,MAVR
QID337,JobSatPoints_1,Driving strategy for my team,NA,MC,MAVR
QID337,JobSatPoints_4,Contributing to open source,NA,MC,MAVR
QID337,JobSatPoints_5,Securing data and environments,NA,MC,MAVR
QID337,JobSatPoints_6,Improving quality of code and developer environments,NA,MC,MAVR
QID337,JobSatPoints_7,"Learning and using new technology, including platforms, APIs and libraries",NA,MC,MAVR
QID337,JobSatPoints_8,"Designing and building environments, databases, and all things architecture",NA,MC,MAVR
QID337,JobSatPoints_9,"Being a power user of a tool, developer language or process that others come to for answers and guidance about",NA,MC,MAVR
QID337,JobSatPoints_10,Working with new and/or top-quality hardware,NA,MC,MAVR
QID337,JobSatPoints_11,A well-staffed/sourced internal network that makes observability easy so network or runtime issues are addressed and fixed easily,NA,MC,MAVR
